path,split
ke/1kee.pdb1_6.dill,train
ke/1keu.pdb1_0.dill,train
ke/1kee.pdb1_2.dill,train
ke/4keh.pdb1_3.dill,train
ke/3kem.pdb1_0.dill,train
ke/1kee.pdb4_0.dill,train
ke/1kee.pdb1_7.dill,train
ke/3kex.pdb1_0.dill,train
ke/1kee.pdb1_3.dill,train
ke/4keh.pdb1_2.dill,train
ke/3ke0.pdb1_0.dill,train
ke/4ket.pdb1_0.dill,train
ke/1kee.pdb5_0.dill,train
ke/1kee.pdb1_5.dill,train
ke/3ke2.pdb1_0.dill,train
ke/1kee.pdb1_1.dill,train
ke/4keh.pdb1_0.dill,train
ke/1kee.pdb1_4.dill,train
ke/3kea.pdb1_0.dill,train
ke/1kee.pdb1_0.dill,train
ke/1kee.pdb3_0.dill,train
ol/3olt.pdb1_0.dill,train
ol/4olq.pdb2_1.dill,train
ol/2ol1.pdb1_0.dill,train
ol/2olk.pdb1_0.dill,train
ol/3ol2.pdb1_0.dill,train
ol/2ol1.pdb1_1.dill,train
ol/4olq.pdb1_2.dill,train
ol/2olk.pdb1_1.dill,train
ol/3ol4.pdb1_0.dill,train
ol/4olp.pdb1_0.dill,train
ol/4olq.pdb2_0.dill,train
ol/4olc.pdb1_0.dill,train
ol/4olq.pdb1_0.dill,train
ol/2olk.pdb1_3.dill,train
ol/1olz.pdb1_0.dill,train
ol/1olu.pdb1_0.dill,train
ol/2olp.pdb1_0.dill,train
ol/4olp.pdb2_0.dill,train
ol/4olq.pdb2_2.dill,train
ol/1olx.pdb1_0.dill,train
ol/1olo.pdb1_0.dill,train
ol/2ol1.pdb1_2.dill,train
ol/4olq.pdb1_1.dill,train
ol/2olk.pdb1_2.dill,train
wz/1wz8.pdb1_7.dill,train
wz/1wz8.pdb1_11.dill,train
wz/3wzp.pdb1_4.dill,train
wz/4wzn.pdb1_0.dill,train
wz/1wz8.pdb1_3.dill,train
wz/3wzp.pdb1_0.dill,train
wz/4wz9.pdb1_0.dill,train
wz/2wz7.pdb2_2.dill,train
wz/1wz7.pdb2_0.dill,train
wz/2wzj.pdb2_0.dill,train
wz/3wzg.pdb1_0.dill,train
wz/1wzl.pdb1_0.dill,train
wz/1wz8.pdb1_6.dill,train
wz/1wz8.pdb1_10.dill,train
wz/3wzp.pdb1_5.dill,train
wz/1wz8.pdb1_2.dill,train
wz/3wzp.pdb1_1.dill,train
wz/3wzz.pdb1_0.dill,train
wz/1wz8.pdb1_8.dill,train
wz/2wz7.pdb2_1.dill,train
wz/1wz8.pdb1_4.dill,train
wz/3wzq.pdb1_1.dill,train
wz/1wz8.pdb1_0.dill,train
wz/3wzq.pdb1_5.dill,train
wz/1wz8.pdb1_5.dill,train
wz/1wzk.pdb1_0.dill,train
wz/1wzd.pdb1_0.dill,train
wz/3wzq.pdb1_0.dill,train
wz/1wz8.pdb1_1.dill,train
wz/3wzq.pdb1_4.dill,train
wz/4wz8.pdb1_0.dill,train
wz/1wz8.pdb1_9.dill,train
wz/2wz7.pdb2_0.dill,train
td/3tdx.pdb1_0.dill,train
td/3tdp.pdb1_3.dill,train
td/3tdx.pdb1_4.dill,train
td/3tdz.pdb1_0.dill,train
td/1td9.pdb2_0.dill,train
td/3tdp.pdb2_1.dill,train
td/3tdp.pdb2_4.dill,train
td/3tdp.pdb2_0.dill,train
td/1tdi.pdb1_0.dill,train
td/3td5.pdb3_0.dill,train
td/3td4.pdb2_0.dill,train
td/3tdx.pdb1_1.dill,train
td/3tdp.pdb1_2.dill,train
td/3tdq.pdb1_0.dill,train
td/1tdu.pdb1_0.dill,train
td/3tdp.pdb2_2.dill,train
td/3tdx.pdb1_3.dill,train
td/3tdp.pdb1_0.dill,train
td/3tdp.pdb1_4.dill,train
td/3tdx.pdb1_2.dill,train
td/3tdp.pdb1_1.dill,train
td/1td9.pdb1_0.dill,train
td/3tdz.pdb2_0.dill,train
td/3tdp.pdb2_3.dill,train
u4/3u49.pdb2_0.dill,train
u4/3u48.pdb1_0.dill,train
u4/3u44.pdb1_0.dill,train
u4/1u4j.pdb1_0.dill,train
u4/3u49.pdb1_0.dill,train
ng/3ng9.pdb1_9.dill,train
ng/1ng0.pdb1_1.dill,train
ng/1ng9.pdb1_0.dill,train
ng/3ngy.pdb1_0.dill,train
ng/3ng9.pdb1_5.dill,train
ng/3ng9.pdb1_13.dill,train
ng/1ng4.pdb1_0.dill,train
ng/3ng9.pdb1_0.dill,train
ng/3ng9.pdb1_16.dill,train
ng/3ng9.pdb1_4.dill,train
ng/3ng9.pdb1_12.dill,train
ng/3ng9.pdb1_8.dill,train
ng/1ng0.pdb1_0.dill,train
ng/3ng9.pdb1_2.dill,train
ng/3ng9.pdb1_14.dill,train
ng/3ngs.pdb1_0.dill,train
